行	62.4301426633	6.0	5.0	3.0
血	80.2094927099	5.0	4.0	2.0
午	58.683149965	9.0	6.0	3.0
孝	78.9769960619	8.0	5.0	2.0
错	121.813445379	3.0	1.0	1
圆	35.2524637005	7.0	4.0	4.0
风	63.4870938832	8.0	6.0	3.0
表	71.219376823	15.0	9.0	2.0
瘦	110.739495799	2.0	1.0	1
死	78.5953166726	6.0	3.0	2.0
衣	-25.7475362997	9.0	8.0	8.0
瓜	71.6035508864	2.0	2.0	2.0
殊	58.5953166726	2.0	2.0	2.0
双	46.1445428682	9.0	6.0	3.0
在	65.0021089417	2.0	2.0	2.0
圣	76.3729318379	10.0	5.0	2.0
此	-11.7296956242	12.0	8.0	5.0
步	45.695104666	6.0	5.0	3.0
正	75.2524637005	6.0	3.0	3.0
动	75.695104666	9.0	6.0	2.0
红	-14.7475362995	8.0	5.0	5.0
事	78.219376823	5.0	3.0	2.0
于	45.2524637005	5.0	4.0	4.0
云	75.2524637005	6.0	3.0	3.0
井	75.2524637005	6.0	3.0	3.0
五	35.2524637005	7.0	4.0	4.0
难	71.9769960619	6.0	4.0	2.0
问	76.2388359811	2.0	2.0	2.0
亡	60.936112432	3.0	3.0	3.0
交	50.2959435291	3.0	3.0	3.0
亦	59.9992922549	9.0	6.0	3.0
京	72.2170478189	2.0	2.0	2.0
随	76.3729318379	5.0	3.0	2.0
隐	69.017692051	6.0	4.0	2.0
殿	68.6722689076	6.0	4.0	2.0
办	65.9997144397	2.0	2.0	2.0
力	80.2524637005	8.0	5.0	4.0
人	35.2524637005	7.0	4.0	4.0
联	50.2959435291	3.0	3.0	3.0
薄	110.739495799	2.0	1.0	1
张	58.683149965	6.0	4.0	3.0
弦	78.5953166726	3.0	2.0	2.0
弟	76.5939810704	7.0	5.0	2.0
率	65.0021089417	2.0	2.0	2.0
玄	73.936112432	5.0	4.0	3.0
弃	64.8251259915	4.0	3.0	3.0
开	30.2959435291	5.0	4.0	4.0
坟	79.3645929611	3.0	2.0	2.0
收	59.8211507744	10.0	6.0	3.0
改	54.0516469743	6.0	4.0	3.0
政	58.5953166726	2.0	2.0	2.0
至	65.521990103	6.0	4.0	3.0
声	76.3729318379	11.0	6.0	2.0
壹	73.1582937485	6.0	4.0	2.0
系	67.5749806699	2.0	2.0	2.0
商	66.2388359811	4.0	3.0	3.0
灰	27.7836059804	5.0	4.0	4.0
火	75.2524637005	6.0	3.0	3.0
柳	110.739495799	2.0	1.0	1
垂	79.7385076416	4.0	3.0	3.0
石	59.9992922549	10.0	6.0	3.0
身	60.7836059804	8.0	5.0	3.0
知	65.0740569473	3.0	3.0	3.0
妆	56.017692051	2.0	2.0	2.0
金	75.2524637005	6.0	3.0	3.0
然	78.9769960619	3.0	2.0	2.0
西	46.6488600969	6.0	4.0	4.0
摇	75.0	3.0	2.0	2.0
路	43.5647978135	8.0	6.0	3.0
冰	35.2524637005	7.0	4.0	4.0
腾	76.1445428682	8.0	5.0	2.0
孔	61.3981890212	2.0	2.0	2.0
疾	75.695104666	10.0	6.0	2.0
子	75.2524637005	6.0	3.0	3.0
疲	75.0	3.0	2.0	2.0
存	62.2170478189	4.0	3.0	3.0
殷	73.5647978135	6.0	4.0	2.0
段	17.1471598898	7.0	6.0	4.0
学	63.5925754658	3.0	3.0	3.0
农	69.7378953415	6.0	4.0	2.0
让	65.4959361022	2.0	2.0	2.0
基	70.8490064526	6.0	4.0	2.0
冈	110.739495799	2.0	1.0	1
册	3.48709388324	4.0	4.0	4.0
再	-39.7040564708	5.0	5.0	5.0
疑	79.7582937485	5.0	3.0	2.0
礼	79.7582937485	3.0	2.0	2.0
犬	75.2524637005	6.0	3.0	3.0
节	122.157457802	4.0	2.0	1
荣	62.695104666	2.0	2.0	2.0
花	68.6722689076	4.0	3.0	2.0
山	35.2524637005	7.0	4.0	4.0
顾	121.813445379	3.0	1.0	1
温	54.0516469743	4.0	3.0	3.0
窗	75.0	1.0	1.0	1.0
皮	76.9992922549	2.0	2.0	2.0
汉	-4.00028556038	4.0	4.0	4.0
市	73.5647978135	7.0	5.0	2.0
布	59.9992922549	9.0	6.0	3.0
念	45.695104666	7.0	5.0	3.0
币	78.0021089417	7.0	4.0	2.0
求	71.5953166726	7.0	5.0	2.0
师	66.5138532572	2.0	2.0	2.0
周	32.2671522296	5.0	4.0	4.0
昨	77.8490064526	3.0	2.0	2.0
久	65.9997144397	2.0	2.0	2.0
春	69.7378953415	10.0	7.0	2.0
惊	76.017692051	3.0	2.0	2.0
帝	75.695104666	7.0	5.0	2.0
帘	77.8490064526	3.0	2.0	2.0
蓝	78.9769960619	3.0	2.0	2.0
员	77.7836059804	2.0	2.0	2.0
星	55.2170478189	6.0	5.0	3.0
欢	121.813445379	3.0	1.0	1
志	80.1582937485	5.0	3.0	2.0
舍	73.1582937485	10.0	7.0	2.0
忘	53.5939810704	4.0	3.0	3.0
汤	-165.747536299	12.0	9.0	9.0
心	23.3346958042	10.0	6.0	4.0
告	74.8255394486	9.0	6.0	2.0
忆	78.5953166726	6.0	3.0	2.0
必	69.7378953415	7.0	5.0	2.0
常	69.249722203	2.0	2.0	2.0
呆	59.249722203	6.0	4.0	3.0
有	80.2524637005	6.0	4.0	4.0
月	75.2524637005	6.0	3.0	3.0
朋	65.9997144397	2.0	2.0	2.0
服	78.4959361022	7.0	4.0	2.0
沉	122.157457802	4.0	2.0	1
墨	63.1445428682	2.0	2.0	2.0
望	20.405946096	5.0	4.0	4.0
朝	69.8343038593	14.0	9.0	2.0
散	58.683149965	4.0	3.0	3.0
沛	134.373203582	5.0	2.0	1
朕	70.2959435291	4.0	3.0	3.0
木	-14.7475362995	8.0	5.0	5.0
唐	72.7582937485	18.0	10.0	2.0
沧	78.9769960619	3.0	2.0	2.0
本	75.2524637005	6.0	3.0	3.0
术	77.2575548818	12.0	9.0	2.0
德	63.5939810704	2.0	2.0	2.0
故	71.6035508864	2.0	2.0	2.0
朱	-34.1559929334	11.0	9.0	5.0
虚	71.5953166726	7.0	4.0	2.0
墙	122.157457802	4.0	2.0	1
效	64.5178474405	2.0	2.0	2.0
盈	54.0516469743	9.0	6.0	3.0
益	77.8490064526	6.0	3.0	2.0
四	35.2524637005	7.0	4.0	4.0
鹏	71.9769960619	9.0	5.0	2.0
盘	55.9997144397	6.0	4.0	3.0
盛	79.3645929611	6.0	4.0	2.0
图	60.405946096	5.0	3.0	3.0
国	50.2959435291	3.0	3.0	3.0
被	65.0021089417	2.0	2.0	2.0
造	61.3981890212	2.0	2.0	2.0
泪	110.739495799	2.0	1.0	1
寂	75.0	1.0	1.0	1.0
莫	64.0516469743	2.0	2.0	2.0
卷	76.3729318379	8.0	4.0	2.0
莲	-14.7475362995	8.0	5.0	5.0
印	73.978020954	8.0	6.0	2.0
调	68.683149965	2.0	2.0	2.0
命	67.0387876404	2.0	2.0	2.0
谁	-42.2163940194	5.0	5.0	5.0
足	75.2524637005	6.0	3.0	3.0
推	78.9997144397	4.0	3.0	2.0
穷	56.3729318379	2.0	2.0	2.0
升	80.1582937485	4.0	2.0	2.0
宛	76.3729318379	5.0	3.0	2.0
千	41.6035508864	3.0	3.0	3.0
音	67.0387876404	2.0	2.0	2.0
华	68.6722689076	12.0	8.0	2.0
谷	65.5263145332	9.0	6.0	3.0
空	70.3200779184	5.0	4.0	2.0
